STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,FRA,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,25,A,Annual,France,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,JAM,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,26,A,Annual,Jamaica,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ZAF,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,27,A,Annual,South Africa,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,NAM,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,28,A,Annual,Namibia,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,AUS,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,29,A,Annual,Australia,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CPV,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,30,A,Annual,Cabo Verde,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,POL,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,31,A,Annual,Poland,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SUR,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,32,A,Annual,Suriname,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SVN,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,33,A,Annual,Slovenia,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ARM,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,34,A,Annual,Armenia,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MDA,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,35,A,Annual,Moldova,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CRI,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,36,A,Annual,Costa Rica,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,FJI,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,40,A,Annual,Fiji,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SVK,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,38,A,Annual,Slovak Republic,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,TLS,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,39,A,Annual,Timor-Leste,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LBY,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,137,A,Annual,Libya,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,GAB,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,41,A,Annual,Gabon,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MKD,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,42,A,Annual,North Macedonia,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,DOM,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,43,A,Annual,Dominican Republic,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,WSM,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,44,A,Annual,Samoa,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SYC,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,45,A,Annual,Seychelles,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,TON,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,46,A,Annual,Tonga,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BLZ,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,47,A,Annual,Belize,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CSS,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,48,A,Annual,Caribbean small states,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
