population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,560,Oregon,2,Female,20,75-79 years,491,Cardiovascular diseases,1,Number,2023,627.9455784936915,700.4450228646019,545.4547308222714
1,All Population,1,Deaths,560,Oregon,1,Male,20,75-79 years,491,Cardiovascular diseases,2,Percent,2023,0.28567250109295156,0.3013399243046698,0.26656968270916787
1,All Population,1,Deaths,560,Oregon,2,Female,20,75-79 years,491,Cardiovascular diseases,2,Percent,2023,0.24049999083803034,0.26156290801489646,0.21041175908450593
1,All Population,1,Deaths,560,Oregon,1,Male,20,75-79 years,491,Cardiovascular diseases,3,Rate,2023,1144.2940763414028,1235.1865628313788,1046.9281679984308
1,All Population,1,Deaths,560,Oregon,2,Female,20,75-79 years,491,Cardiovascular diseases,3,Rate,2023,709.4750349217055,791.3874610753236,616.2739693567695
1,All Population,1,Deaths,560,Oregon,1,Male,21,80+ years,491,Cardiovascular diseases,1,Number,2023,2817.883691020397,3108.785951133965,2373.6406002060835
1,All Population,1,Deaths,560,Oregon,2,Female,21,80+ years,491,Cardiovascular diseases,1,Number,2023,3581.0869732504425,4105.284505655406,2692.9674310853106
1,All Population,1,Deaths,560,Oregon,1,Male,21,80+ years,491,Cardiovascular diseases,2,Percent,2023,0.345873407475382,0.37790424366616443,0.29094388804446336
1,All Population,1,Deaths,560,Oregon,2,Female,21,80+ years,491,Cardiovascular diseases,2,Percent,2023,0.35467617533453655,0.4032123016240445,0.2667328708960504
1,All Population,1,Deaths,560,Oregon,1,Male,21,80+ years,491,Cardiovascular diseases,3,Rate,2023,3833.846110305929,4229.630543130316,3229.435200382246
1,All Population,1,Deaths,560,Oregon,2,Female,21,80+ years,491,Cardiovascular diseases,3,Rate,2023,3511.2481994507366,4025.2227707365023,2640.4488676786136
1,All Population,1,Deaths,560,Oregon,1,Male,25,50-69 years,491,Cardiovascular diseases,1,Number,2023,1408.7126363533132,1499.2277458014132,1317.1590254158734
1,All Population,1,Deaths,560,Oregon,2,Female,25,50-69 years,491,Cardiovascular diseases,1,Number,2023,663.4454542495967,721.7231535707233,601.0212370693852
1,All Population,1,Deaths,560,Oregon,1,Male,25,50-69 years,491,Cardiovascular diseases,2,Percent,2023,0.238178725260194,0.2500784151737739,0.22566685202894124
