DATAFLOW,Geographic area,INDICATOR,RESIDENCE,SEX,Current age,TIME_PERIOD,OBS_VALUE,DATA_SOURCE,UNIT_MEASURE,UNIT_MULTIPLIER,SOURCE_LINK,SERIES_FOOTNOTE,OBS_FOOTNOTE,OBS_STATUS
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2025,26.833,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2016,22.648,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2017,22.525,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2018,22.361,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2019,22.178,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2020,21.973,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2021,21.754,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2022,21.529,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2023,21.267,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2024,20.988,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_021: Northern America (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2025,20.705,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2016,21.108,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2017,21.082,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2018,20.971,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2019,20.776,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
