DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,RESIDENCE:Residence,EDUCATION_LEVEL:Education Level,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,SERIES_FOOTNOTE:Series footnote,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOWC_FLAG_A:SOWC flag A,OBS_FOOTNOTE:Observation footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,FREQ_COLL:Time interval at which the source data are collected
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2021,84,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2023,84,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2016,70,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2017,80,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2018,79,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2019,79,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2020,80,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2021,83,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2023,83,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2016,77,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2017,88,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2018,88,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2019,88,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2020,88,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2021,85,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2023,85,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BDI: Burundi,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2017,25,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BDI: Burundi,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2017,18,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BDI: Burundi,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2017,12,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BGD: Bangladesh,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2021,62,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BGD: Bangladesh,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2023,64,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BGD: Bangladesh,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2021,51,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BGD: Bangladesh,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2023,55,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BGD: Bangladesh,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2021,72,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BGD: Bangladesh,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2023,72,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2016,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2017,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2018,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2019,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2020,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2021,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2022,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2017,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2018,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2019,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2020,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2021,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2016,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2017,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,BHR: Bahrain,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2018,100,,,PCNT: %,,,,SDG Portal,,,
